Date,Day of Week,Screen Time (min),Most Used App,Time on Top App (min),Hour with Most Screen Time (0-24 Military Time)
01/26/25,Sunday,176,Instagram,138,20
01/27/25,Monday,103,Snapchat,74,14
01/28/25,Tuesday,84,Instagram,41,21
01/29/25,Wednesday,307,Snapchat,93,19
01/30/25,Thursday,306,Instagram,91,1
01/31/25,Friday,143,Snapchat,50,12
02/01/25,Saturday,150,Instagram,69,1
02/02/25,Sunday,208,Instagram,137,15
02/03/25,Monday,164,Instagram,91,18
02/04/25,Tuesday,133,Instagram,46,0
02/05/25,Wednesday,231,Instagram,105,12
02/06/25,Thursday,284,Instagram,101,21
02/07/25,Friday,148,Instagram,70,13
02/08/25,Saturday,237,Instagram,119,14
02/09/25,Sunday,165,Instagram,52,13
02/10/25,Monday,221,TikTok,44,12
02/11/25,Tuesday,179,Instagram,64,23
02/12/25,Wednesday,180,TikTok,84,13
02/13/25,Thursday,183,Instagram,45,0
02/14/25,Friday,215,TikTok,85,20
02/15/25,Saturday,158,TikTok,65,12
02/16/25,Sunday,129,TikTok,59,17
02/17/25,Monday,140,Instagram,50,23
02/18/25,Tuesday,209,Instagram,128,14
02/19/25,Wednesday,196,Instagram,91,17
02/20/25,Thursday,233,Instagram,106,0
02/21/25,Friday,165,Instagram,50,10
02/22/25,Saturday,226,Instagram,124,12
02/23/25,Sunday,221,Instagram,139,9
02/24/25,Monday,131,Instagram,102,16
02/25/25,Tuesday,196,Instagram,52,19
02/26/25,Wednesday,188,TikTok,134,20
02/27/25,Thursday,131,Instagram,93,21
02/28/25,Friday,162,Tiktok,106,12
03/01/25,Saturday,189,Instagram,66,11
03/02/25,Sunday,137,Instagram,86,23
03/03/25,Monday,241,Instagram,102,14
03/04/25,Tuesday,183,Instagram,111,18
03/05/25,Wednesday,300,Instagram,183,20
03/06/25,Thursday,241,Instagram,156,20
03/07/25,Friday,286,Instagram,144,23
03/08/25,Saturday,355,Instagram,145,23
03/09/25,Sunday,271,Instagram,123,0
03/10/25,Monday,185,Snapchat,72,1
03/11/25,Tuesday,368,Photos,127,2
03/12/25,Wednesday,311,Tiktok,107,23
03/13/25,Thursday,262,Tiktok,129,20
03/14/25,Friday,274,Tiktok,127,14
03/15/25,Saturday,536,Instagram,168,3
03/16/25,Sunday,271,Instagram,227,12
03/17/25,Monday,130,Instagram,50,16
03/18/25,Tuesday,167,Instagram,80,16
03/19/25,Wednesday,214,Tiktok,75,19
03/20/25,Thursday,265,Instagram,82,22
03/21/25,Friday,161,Tiktok,52,22
03/22/25,Saturday,183,MM Live,46,19
03/23/25,Sunday,260,Tiktok,120,20
03/24/25,Monday,162,Tiktok,51,10
03/25/25,Tuesday,218,Tiktok,106,23
03/26/25,Wednesday,169,Instagram,123,11
03/27/25,Thursday,140,Instagram,68,13
03/28/25,Friday,161,Instagram,59,19
03/29/25,Saturday,231,Tiktok,123,23
03/30/25,Sunday,186,Instagram,113,20
03/31/25,Monday,132,Instagram,112,24
04/01/25,Tuesday,180,Tiktok,86,22
04/02/25,Wednesday,220,Snapchat,62,13
04/03/25,Thursday,196,Instagram,54,17
04/04/25,Friday,139,Instagram,54,22
04/05/25,Saturday,204,Tiktok,114,0
04/06/25,Sunday,115,Instagram,56,11
04/07/25,Monday,287,Instagram,134,14
04/08/25,Tuesday,127,Instagram,52,0
04/09/25,Wednesday,214,Tiktok,75,19
04/10/25,Thursday,265,Instagram,82,22
